question	answer	note	category
あなたの趣味は何ですか？その趣味を始めたきっかけや魅力について教えてください。	My hobby is playing the guitar. I started when I was in high school after watching a live concert. I love how it allows me to express my emotions through music.	express emotions through music（音楽を通して感情を表現する）, live concert（ライブコンサート）	daily-conversation
休日は通常どのように過ごしますか？理想的な休日について説明してください。	On weekends, I usually catch up on sleep and meet friends for brunch. My ideal day off would be hiking in nature followed by a quiet evening reading a good book.	catch up on sleep（睡眠不足を解消する）, brunch（朝食と昼食を兼ねた食事）	daily-conversation
あなたの故郷について教えてください。どんな場所ですか？	I'm from a small coastal town with beautiful beaches and friendly locals. What makes it special is the relaxed pace of life and the stunning sunsets over the ocean.	coastal town（沿岸の町）, pace of life（生活のペース）	daily-conversation
将来の目標や夢について教えてください。	My dream is to start my own business in sustainable fashion. I'm currently learning about eco-friendly materials and hope to launch my first collection within five years.	sustainable fashion（持続可能なファッション）, eco-friendly materials（環境に優しい素材）	daily-conversation
最近読んだ本や観た映画で印象に残っているものはありますか？	I recently watched a thought-provoking documentary about climate change. It opened my eyes to how our daily choices impact the environment and inspired me to make some lifestyle changes.	thought-provoking（考えさせられる）, impact the environment（環境に影響を与える）	daily-conversation
あなたの長所と短所は何ですか？	My strength is my attention to detail, which helps me excel in my work. However, I tend to overthink decisions sometimes, which can lead to unnecessary stress.	attention to detail（細部への注意）, overthink（考えすぎる）	daily-conversation
あなたの好きな料理は何ですか？自分で料理をすることはありますか？	I love Italian cuisine, especially homemade pasta. I enjoy cooking on weekends and have been experimenting with different recipes. There's something satisfying about creating a delicious meal from scratch.	homemade（手作りの）, from scratch（一から作る）	daily-conversation
今までで一番印象に残っている旅行はどこですか？その理由も教えてください。	My most memorable trip was to Kyoto during cherry blossom season. The combination of ancient temples, beautiful gardens, and the ephemeral beauty of the blossoms created an almost magical atmosphere.	ephemeral beauty（はかない美しさ）, magical atmosphere（魔法のような雰囲気）	daily-conversation
仕事やスタディにおいて、ストレスにどのように対処していますか？	When I'm stressed, I practice mindfulness meditation and take short walks outside. Breaking large tasks into smaller, manageable steps also helps me avoid feeling overwhelmed.	mindfulness meditation（マインドフルネス瞑想）, manageable steps（管理しやすい段階）	daily-conversation
環境問題についてどう思いますか？日常生活で環境に配慮した行動をしていますか？	I believe climate change is one of the most pressing issues we face today. In my daily life, I try to reduce waste by using reusable items and choosing public transportation whenever possible.	pressing issues（差し迫った問題）, reduce waste（廃棄物を減らす）	daily-conversation
天気が良い日は普段何をしますか？	When the weather is nice, I like to take a long walk in the park and listen to podcasts. It helps me clear my mind before the week starts.	clear my mind（頭をすっきりさせる）, podcast（ポッドキャスト）	daily-conversation
通勤時間はどのように過ごしていますか？	I usually read an e-book on the train and sometimes review my schedule for the day. It makes the ride feel productive.	e-book（電子書籍）, productive（生産的な）	daily-conversation
朝食は毎日食べますか？好きなメニューは何ですか？	Yes, I never skip breakfast. My favorite is oatmeal with fresh fruit because it's quick and keeps me full until lunch.	skip breakfast（朝食を抜く）, keep me full（満腹感を保つ）	daily-conversation
最近ハマっているテレビ番組はありますか？	I've been hooked on a crime drama series lately. The plot twists keep me guessing every episode.	hooked on（夢中になっている）, plot twist（どんでん返し）	daily-conversation
週末の予定は何かありますか？	I'm planning to visit a flea market on Saturday and meet up with friends for dinner. Sunday will be for relaxing at home.	flea market（蚤の市）, meet up with friends（友達と会う）	daily-conversation
